name,age,ht,wt,sex,cp60,w60,r60,cp75,w75,r75,cp90,w90,r90,cp105,w105,r105,cp120,w120,r120,cp135,w135,r135,cp150,w150,r150,cp165,w165,r165,cp180,w180,r180,ep,wep
38,47,162,76.4,m,239.7416806,8988.798306,0.96615297,254.4893693,8075.913544,0.961474539,262.6359612,7572.760045,0.958326396,258.3037247,7849.94934,0.955448777,254.5655437,8104.378398,0.951375624,253.9631917,8147.479701,0.949149656,255.9047862,8008.756292,0.946351944,255.8757415,8010.867165,0.944860367,253.9399983,8150.979752,0.942243553,249.79175,9167.5815
39,,,,f,144.8259377,12405.32098,0.97361244,164.0016487,10155.93713,0.968874811,163.7779448,10162.95554,0.965995411,174.6220262,8876.405522,0.962763487,183.07797,7909.577838,0.957013796,189.1276047,7236.776432,0.950943329,191.710614,6951.399265,0.947430362,191.2690672,7000.987606,0.945169086,191.5213897,6971.395474,0.943513582,192.3982069,6804.112966
40,36,172,68.2,m,196.1608197,14614.92042,0.978330058,207.8214123,13946.98597,0.977021326,216.0426833,13466.11769,0.974415994,220.5211921,13201.8045,0.972346963,224.3535025,12975.74387,0.969564895,224.18161,12986.33365,0.967170855,222.3298747,13097.65149,0.965626126,217.5176114,13394.40314,0.961693672,218.4266309,13337.5538,0.956111413,206.306,16010.148
41,30,173,70.5,m,84.1589533,18686.36326,0.963088517,111.8860517,16980.40128,0.960827058,126.4078125,16084.0998,0.958652847,137.3161059,15411.46823,0.955321419,143.936528,15007.09165,0.953190497,146.0024251,14881.70329,0.947879981,149.3905931,14677.02408,0.945765375,150.3122329,14621.87273,0.943458555,151.4982908,14551.06608,0.939677614,157.565,13995.366
42,29,167,55.3,f,-6.598207851,27555.78163,0.963330122,88.1287223,13758.4669,0.959697957,109.6866123,11185.15736,0.955946323,112.7888109,10823.20924,0.952640583,119.4492304,10021.70033,0.947903738,129.6139061,8828.14009,0.938409614,131.7418558,8583.671649,0.936360705,133.4642036,8381.539046,0.932400772,135.7890313,8110.29255,0.928811174,143.1275,6925.611
43,30,185,72.7,m,216.1275835,15493.80288,0.956230355,239.0183044,13595.47563,0.951618406,250.327157,12665.96299,0.949382166,247.215983,12929.22249,0.947548221,244.0946782,13206.47025,0.943245138,243.3196869,13279.80526,0.939941323,241.9156466,13415.28393,0.937088605,240.3269792,13576.40029,0.935345615,240.5285827,13555.97404,0.932755527,239.585931,13752.27434
44,37,176,72.73,m,156.2158226,18343.33752,0.969810052,173.3995166,17071.43355,0.968394398,187.1237498,16009.74251,0.966869672,197.6643954,15185.3756,0.962029454,191.1086745,15710.23288,0.954485395,194.4704604,15426.07047,0.952617258,196.6221367,15245.41619,0.949332024,197.7514751,15149.20344,0.94852766,198.5121034,15084.22034,0.946985924,203.072,14678.664
45,46,183,83.6,m,287.2472446,11952.81067,0.977387042,282.0878409,12361.14129,0.974397804,277.1678534,12773.76059,0.971592708,270.864668,13346.4373,0.969954353,264.5983411,13964.67644,0.968489334,258.156421,14643.66001,0.966223472,257.407184,14725.59331,0.964096872,260.6100706,14362.86988,0.962007155,261.6877676,14240.0948,0.960205087,270.321875,12945.06675
46,28,164,61.4,f,129.0667304,16674.18984,0.888123937,118.0289671,18187.89179,0.881364978,176.8400739,10656.33419,0.862407672,193.6146002,8808.01599,0.854144745,196.9687745,8447.673691,0.842709856,201.117814,7998.081158,0.832526521,199.9884191,8121.022257,0.825497941,200.2430358,8092.582176,0.818925279,202.6229754,7818.569179,0.810207939,206.854625,7159.09425
47,51,180,93.2,m,272.8568552,8586.873377,0.976627657,273.226357,8557.42007,0.974091463,271.3720062,8694.941276,0.971445613,253.5987108,10187.08064,0.961579359,245.9680163,10914.74776,0.955973039,250.4189551,10472.83876,0.948473657,262.3457037,9340.175422,0.928211216,264.4823893,9148.273602,0.924276967,264.3622206,9159.576221,0.922714628,269.340125,8468.63325
48,19,186,86.4,m,,,,-1817.957218,716321.4264,0.886820722,-176.6415005,68219.43146,0.864105237,4.041625176,38094.06036,0.848676707,47.56096881,31924.8355,0.840793595,83.74021228,27075.65264,0.831491394,104.2789869,24452.73005,0.820131732,115.6504426,23035.18641,0.812182063,122.2759114,22225.86318,0.800331918,151.703375,17176.29375
49,38,170,59,m,84.03402016,22211.85615,0.939442921,154.163267,13871.70194,0.935397771,192.1685369,9983.312445,0.923388491,209.8045654,8363.962931,0.911450768,208.7173027,8465.779538,0.907985703,210.4084025,8304.859113,0.902290292,211.9866211,8153.289062,0.899054828,214.020249,7957.537253,0.894889529,214.359896,7924.761098,0.89151987,219.704,7132.356
50,35,170,65.9,f,107.4131836,14298.29858,0.912534858,166.045925,9723.107724,0.900174611,178.9750539,8805.644934,0.893077409,178.9145925,8814.63233,0.890523958,181.4898696,8618.705175,0.882264159,180.0388055,8730.978541,0.879435335,180.5440342,8692.080954,0.871993489,180.0291902,8733.650689,0.86389684,178.5876998,8851.738372,0.85681191,177.25775,9412.4415
51,44,188,96,m,214.4813056,18073.58759,0.947696517,239.5819399,16555.40802,0.94502755,251.3141703,15834.44665,0.943182513,254.7028126,15621.78137,0.940602624,256.4822211,15507.78152,0.938952187,261.4369167,15192.94229,0.936354451,263.2548579,15078.36023,0.93485049,260.5024238,15253.02835,0.933082867,259.7721994,15300.00102,0.930724034,254.094125,16932.47325
52,51,181,75.9,m,139.117893,16096.25771,0.979062821,174.0712608,13615.78748,0.974883993,182.0810979,13042.46674,0.972273099,183.5655259,12935.40288,0.966011649,188.8187603,12546.40616,0.961030978,191.9659384,12309.56086,0.957959355,189.7612564,12477.51002,0.956077001,188.5539532,12571.91584,0.954889675,191.217126,12363.85353,0.951759448,194.81375,12096.6615
53,29,178,86.8,m,215.1318418,12320.41908,0.915194467,211.9047948,12552.72478,0.913297027,230.138007,11095.29404,0.896226035,236.9403484,10570.52573,0.890540371,243.2599759,10067.63396,0.883532754,243.4273474,10055.57062,0.880264276,244.883927,9939.553148,0.872804665,247.7315496,9711.076839,0.845896809,248.5438485,9646.734388,0.826972542,262.1442759,7347.042621
54,38,173,60,f,175.4940564,11134.95792,0.979349227,196.2103303,9390.285555,0.9771364,190.3518541,9906.154068,0.975975919,184.2709517,10489.87211,0.974961829,186.0513755,10308.52611,0.97439221,188.0583455,10098.49162,0.973677788,191.2969294,9758.406871,0.971865429,192.5263043,9627.62174,0.97024903,193.936036,9478.770909,0.968841794,198.85625,8784.8145
55,31,178,76,m,14.46172138,40345.98417,0.973972546,180.3743298,25185.09329,0.966716034,228.3294755,21290.93483,0.960739231,249.834516,19588.89764,0.956186552,253.0531384,19335.8766,0.954929854,251.8840132,19434.0644,0.952128871,250.0476568,19590.19096,0.951256504,248.8358653,19695.45157,0.946507305,246.3718418,19913.79414,0.944748423,238.270625,21904.28625
56,22,193,83.6,m,-0.12647419,48693.07466,0.912161491,147.2641299,31003.66721,0.898524391,230.1540574,22522.20028,0.886622973,252.0602122,20395.86498,0.880907266,259.6823919,19648.94328,0.876140987,268.2871039,18795.87499,0.871246664,270.9772038,18535.04332,0.862146679,274.4355202,18191.71846,0.850465674,273.2178486,18314.28513,0.844606129,277.223,17965.794
57,49,170,76.4,m,120.6932491,13705.76431,0.965955051,133.0427301,12823.36469,0.961932892,137.4112447,12492.42122,0.958488067,143.7101956,12005.94787,0.955784495,151.2209309,11431.13098,0.948857801,155.9649044,11073.73064,0.942748354,154.4871847,11186.33492,0.938199837,155.3808772,11117.28793,0.936231478,155.9898811,11070.40145,0.930351945,158.1425,10966.725
58,45,182,71,m,-692.3268746,238470.2926,0.929002106,31.38848926,35275.46834,0.924007338,123.6010253,21939.63231,0.919144056,157.6679213,17676.30757,0.915682849,175.2523771,15596.0982,0.909677959,175.424407,15580.48587,0.906568174,179.2460757,15122.02975,0.901589263,180.0273182,15025.00995,0.898742258,184.0042819,14524.27074,0.892811809,192.73475,13106.1315
59,44,173,65.9,m,168.079162,23605.11902,0.904977689,228.8696104,18209.6457,0.901837481,246.5379937,16711.37655,0.897033127,240.9473311,17206.20279,0.895354586,247.9682894,16539.29589,0.891988424,254.669304,15912.91652,0.889194241,256.6695834,15727.77584,0.887030672,258.8361574,15522.98454,0.88317929,256.6638793,15734.45958,0.878246458,256.808375,16054.09575
60,,,,m,200.287976,15916.01439,0.87973724,227.2068178,14074.23071,0.877856733,241.4861511,13084.63082,0.871229666,249.4989394,12527.5763,0.868651528,253.309029,12260.03535,0.864144804,254.1138493,12202.77678,0.857202597,251.3654155,12403.37624,0.852418627,251.9757062,12358.17738,0.84538015,249.8864549,12515.10991,0.83865991,243.930125,13935.94125
